name,PSNR,SSIM
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_20_16_Vibration_4_0.0.PNG'], 37.43, 0.9361
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_18_Both_5_-12.257.PNG'], 28.17, 0.7600
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_25_15_Both_6_8.331.PNG'], 30.76, 0.8143
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_15_17_Vibration_1_0.0.PNG'], 40.83, 0.9538
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_10_ZStack_0_4037.037.PNG'], 39.47, 0.9620
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_18_1_Vibration_4_0.0.PNG'], 41.23, 0.9548
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_29_7_Focus_0_0.453.PNG'], 24.79, 0.9598
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_10_Both_5_6.828.PNG'], 31.23, 0.8523
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_4_Both_8_-10.37.PNG'], 33.25, 0.8753
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_26_3_Both_3_2.505.PNG'], 38.44, 0.9383
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_10_Focus_0_1.044.PNG'], 38.73, 0.9543
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_3_Focus_0_-4.059.PNG'], 34.93, 0.9019
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_19_16_Vibration_5_0.0.PNG'], 35.43, 0.9060
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_24_13_Both_9_-5.087.PNG'], 31.42, 0.8262
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_11_Vibration_7_0.0.PNG'], 33.38, 0.8798
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_14_Vibration_1_0.0.PNG'], 40.92, 0.9690
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_4_Vibration_3_0.0.PNG'], 39.77, 0.9566
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_2_1_Focus_0_-10.118.PNG'], 34.43, 0.8891
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_0_Both_9_7.333.PNG'], 35.03, 0.8889
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_5_Focus_0_12.691.PNG'], 29.25, 0.7900
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_28_3_Focus_0_11.853.PNG'], 32.50, 0.8623
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_18_ZStack_0_4050.199.PNG'], 39.55, 0.9590
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_0_Focus_0_-7.695.PNG'], 35.07, 0.8915
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_14_6_Vibration_9_0.0.PNG'], 35.19, 0.9077
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_24_13_Both_3_0.545.PNG'], 39.20, 0.9545
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_6_13_Focus_0_4.129.PNG'], 33.46, 0.8768
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_8_10_Both_1_1.151.PNG'], 36.26, 0.9286
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_18_Focus_0_-6.358.PNG'], 31.98, 0.8450
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_30_17_Focus_0_2.119.PNG'], 35.65, 0.9316
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_28_3_Vibration_5_0.0.PNG'], 39.00, 0.9422
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_0_Both_1_-10.473.PNG'], 33.36, 0.8751
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_8_Focus_0_-1.201.PNG'], 37.73, 0.9526
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_10_Both_3_-12.006.PNG'], 28.71, 0.7904
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_24_11_Both_9_-2.513.PNG'], 33.12, 0.8728
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_30_18_Vibration_6_0.0.PNG'], 39.38, 0.9577
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_29_15_Both_7_10.849.PNG'], 27.58, 0.7323
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_11_19_Both_6_9.405.PNG'], 30.52, 0.8104
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_5_18_Both_6_4.725.PNG'], 32.41, 0.8536
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_11_Vibration_8_0.0.PNG'], 35.83, 0.9174
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_4_Both_5_8.279.PNG'], 30.17, 0.8173
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_29_7_Both_9_-0.929.PNG'], 24.43, 0.9139
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_4_Focus_0_-9.467.PNG'], 30.26, 0.8088
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_14_8_Focus_0_12.54.PNG'], 29.56, 0.8002
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_3_21_Both_3_-6.764.PNG'], 31.08, 0.8260
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_20_Focus_0_-4.608.PNG'], 35.40, 0.8997
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_7_Vibration_3_0.0.PNG'], 40.00, 0.9562
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_17_Focus_0_0.0210000000002.PNG'], 41.17, 0.9704
